ID,Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
2010,EPX,Travel Agency,Online,Cancellation Plan,61,PHILIPPINES,12,0,41,0
4245,EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,17,0,35,0
9251,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,26,THAILAND,19.8,11.88,47,0
4754,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,HONG KONG,27,0,48,0
8840,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,MALAYSIA,37,0,36,0
5959,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,THAILAND,25,0,38,0
6031,EPX,Travel Agency,Online,Cancellation Plan,215,UNITED KINGDOM,59,0,36,0
8394,JZI,Airlines,Online,Basic Plan,31,VIET NAM,22,7.7,43,0
3017,EPX,Travel Agency,Online,2 way Comprehensive Plan,13,CHINA,48.6626989254228,0,36,1
8054,C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,23.2588240445088,5.81729425157229,28,1
3595,EPX,Travel Agency,Online,2 way Comprehensive Plan,83,CHINA,66.82379285302,0,36,1
8195,C2B,Airlines,Online,Silver Plan,22,SINGAPORE,82.55,20.64,31,1
2228,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,48,MALAYSIA,39.6,23.76,31,0
5083,EPX,Travel Agency,Online,2 way Comprehensive Plan,24,SINGAPORE,27,0,36,0
2165,C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,58.211643758841,14.5529109397102,66,1
6597,EPX,Travel Agency,Online,2 way Comprehensive Plan,58,VIET NAM,21,0,36,0
3000,EPX,Travel Agency,Online,2 way Comprehensive Plan,43,JAPAN,82,0,36,0
8850,EPX,Travel Agency,Online,Cancellation Plan,98,INDONESIA,16,0,36,0
6157,EPX,Travel Agency,Online,Cancellation Plan,12,UNITED ARAB EMIRATES,21,0,36,0
5232,C2B,Airlines,Online,Bronze Plan,36,SINGAPORE,47,11.75,25,0
9597,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,MALAYSIA,31,0,52,0
6774,EPX,Travel Agency,Online,1 way Comprehensive Plan,8,MALAYSIA,20,0,36,0
3266,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,UNITED ARAB EMIRATES,69.3,41.58,31,0
2440,C2B,Airlines,Online,Bronze Plan,53,SINGAPORE,21,5.25,40,0
7018,RAB,Airlines,Online,Value Plan,6,BRUNEI DARUSSALAM,15,6,50,0
3006,EPX,Travel Agency,Online,Cancellation Plan,47,SINGAPORE,59,0,36,0
6319,EPX,Travel Agency,Online,2 way Comprehensive Plan,61,UNITED ARAB EMIRATES,41,0,35,0
5688,EPX,Travel Agency,Online,2 way Comprehensive Plan,116,UNITED STATES,112,0,48,0
5747,EPX,Travel Agency,Online,2 way Comprehensive Plan,45,UNITED STATES,112,0,51,1
5887,EPX,Travel Agency,Online,Cancellation Plan,122,INDONESIA,39,0,36,0
7066,EPX,Travel Agency,Online,2 way Comprehensive Plan,151,PHILIPPINES,45,0,36,0
6106,C2B,Airlines,Online,Annual Silver Plan,374,SINGAPORE,216,54,33,0
9835,EPX,Travel Agency,Online,Cancellation Plan,12,CHINA,34,0,36,0
6138,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,THAILAND,0,17.82,30,0
6210,EPX,Travel Agency,Online,2 way Comprehensive Plan,20,INDONESIA,20,0,36,0
9502,EPX,Travel Agency,Online,1 way Comprehensive Plan,4,CHINA,22,0,36,0
9068,JZI,Airlines,Online,Value Plan,73,UNITED STATES,96,33.6,36,0
4003,EPX,Travel Agency,Online,2 way Comprehensive Plan,32,CANADA,112,0,32,0
4641,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,THAILAND,39.6,23.76,37,0
7349,TST,Travel Agency,Offline,Travel Cruise Protect,47,THAILAND,30,10.5,71,0
6276,EPX,Travel Agency,Online,2 way Comprehensive Plan,122,THAILAND,20,0,40,0
4386,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,CHINA,74,0,36,0
